category,color
Type 001,#D70000
Type 002,#8C3CFF
Type 003,#028800
Type 004,#00ACC7
Type 005,#E7A500
Type 006,#FF7FD1
Type 007,#6C004F
Type 008,#583B00
Type 009,#005759
Type 010,#15E18D
Type 011,#0000DD
Type 012,#A2766A
Type 013,#BCB7FF
Type 014,#C004B9
Type 015,#645473
Type 016,#790000
Type 017,#0774D8
Type 018,#739B7D
Type 019,#FF7852
Type 020,#004B00
Type 021,#8F7B01
Type 022,#F3007B
Type 023,#8FBA00
Type 024,#A67BB8
Type 025,#5A02A3
Type 026,#E3AFAF
Type 027,#A03A52
Type 028,#A2C8C8
Type 029,#9E4B00
Type 030,#546745
Type 031,#BBC389
Type 032,#5F7B88
Type 033,#60383C
Type 034,#8388FF
Type 035,#390000
Type 036,#E353FF
Type 037,#305382
Type 038,#7FCAFF
Type 039,#C5668F
Type 040,#00816A
Type 041,#929EB7
Type 042,#CC7407
Type 043,#7F2B8E
Type 044,#00BEA4
Type 045,#2DB152
Type 046,#4E33FF
Type 047,#00E500
Type 048,#FF00CE
Type 049,#C85848
Type 050,#E59CFF
Type 051,#1DA1FF
Type 052,#6E70AB
Type 053,#C89A69
Type 054,#78573B
Type 055,#04DAE6
Type 056,#C1A3C4
Type 057,#FF6A8A
Type 058,#BB00FE
Type 059,#925380
Type 060,#9F0274
Type 061,#94A150
Type 062,#374425
Type 063,#AF6DFF
Type 064,#596D00
Type 065,#FF3147
Type 066,#838057
Type 067,#006D2E
Type 068,#8956AF
Type 069,#5A4AA3
Type 070,#773516
Type 071,#86C39A
Type 072,#5F1123
Type 073,#D58581
Type 074,#A42918
Type 075,#0088B1
Type 076,#CB0044
Type 077,#FFA056
Type 078,#EB4E00
Type 079,#6C9700
Type 080,#538649
Type 081,#755A00
Type 082,#C8C440
Type 083,#92D370
Type 084,#4B9894
Type 085,#4D230D
Type 086,#61345C
Type 087,#8400CF
Type 088,#8B0031
Type 089,#9F6E32
Type 090,#AC8499
Type 091,#C63189
Type 092,#025438
Type 093,#086B84
Type 094,#87A8EC
Type 095,#6466EF
Type 096,#C45DBA
Type 097,#019F70
Type 098,#815159
Type 099,#836F8C
Type 100,#B3C0DA
