category,color
Type 001,#3C5488
Type 002,#9EBC44
Type 003,#F86E62
Type 004,#08C2BC
Type 005,#F886E0
Type 006,#6E562C
Type 007,#086E32
Type 008,#DA9838
Type 009,#923E5C
Type 010,#08B6F8
Type 011,#8C8CF8
Type 012,#BCA4CE
Type 013,#98B086
Type 014,#08686E
Type 015,#DA9E8C
Type 016,#863898
Type 017,#26C880
Type 018,#984408
Type 019,#F26292
Type 020,#5C6E08
Type 021,#B01A3E
Type 022,#0E56B6
Type 023,#C2B062
Type 024,#926298
Type 025,#B05C50
Type 026,#AA2074
Type 027,#5C8CB0
Type 028,#E08CAA
Type 029,#8C6808
Type 030,#509E3E
Type 031,#506E4A
Type 032,#0892F2
Type 033,#44A47A
Type 034,#F89868
Type 035,#56BCD4
Type 036,#9E9214
Type 037,#7A86C8
Type 038,#C892E0
Type 039,#B07A4A
Type 040,#869E50
Type 041,#C8629E
Type 042,#569E98
Type 043,#745CB0
Type 044,#F88C8C
Type 045,#928650
Type 046,#A46E80
Type 047,#B6382C
Type 048,#08745C
Type 049,#087ABC
Type 050,#805044
Type 051,#BC68C8
Type 052,#7ABC74
Type 053,#D46838
Type 054,#086286
Type 055,#2C6E08
Type 056,#8CB0E6
Type 057,#CE5668
Type 058,#B06808
Type 059,#923E80
Type 060,#089856
Type 061,#BC2662
Type 062,#C2AA80
Type 063,#864A26
Type 064,#5C6226
Type 065,#568C50
Type 066,#088CA4
Type 067,#628C14
Type 068,#AAA4F8
Type 069,#DAA462
Type 070,#746E98
Type 071,#C28CF8
Type 072,#EC92CE
Type 073,#7A506E
Type 074,#08C298
Type 075,#7ABC9E
Type 076,#5C7AD4
Type 077,#8C802C
Type 078,#F86EB6
Type 079,#9E3844
Type 080,#AA7462
Type 081,#629274
Type 082,#C26280
Type 083,#CEAA38
Type 084,#DA745C
Type 085,#C87A80
Type 086,#62AAF8
Type 087,#B0449E
Type 088,#3E6826
Type 089,#BC86B6
Type 090,#62508C
Type 091,#865008
Type 092,#089886
Type 093,#0898C8
Type 094,#C87A3E
Type 095,#987AC2
Type 096,#983E26
Type 097,#B68C38
Type 098,#F8627A
Type 099,#0862B0
Type 100,#6E5C14
