model,bin,predicted,observed,n,lower,upper
Uncalibrated,0,0.07,0.19229180886540834,129,0.13229180886540834,0.25229180886540836
Uncalibrated,1,0.1928571428571429,0.36045093105669623,192,0.30045093105669624,0.42045093105669623
Uncalibrated,2,0.3157142857142857,0.4892855893002489,240,0.4292855893002489,0.5492855893002488
Uncalibrated,3,0.4385714285714286,0.5998808635553615,266,0.5398808635553616,0.6598808635553615
Uncalibrated,4,0.5614285714285715,0.6991374986996252,266,0.6391374986996252,0.7591374986996251
Uncalibrated,5,0.6842857142857144,0.7904005494991827,240,0.7304005494991828,0.8504005494991826
Uncalibrated,6,0.8071428571428572,0.8756070564164317,192,0.8156070564164317,0.9356070564164316
Uncalibrated,7,0.93,0.9560033807786976,129,0.8960033807786976,1.0
Calibrated,0,0.07,0.06463250392241328,129,0.004632503922413281,0.12463250392241328
Calibrated,1,0.1928571428571429,0.1835662349328186,192,0.1235662349328186,0.2435662349328186
Calibrated,2,0.3157142857142857,0.304981194231997,240,0.244981194231997,0.364981194231997
Calibrated,3,0.4385714285714286,0.4278598607889157,266,0.3678598607889157,0.4878598607889157
Calibrated,4,0.5614285714285715,0.5517893902734647,266,0.49178939027346474,0.6117893902734648
Calibrated,5,0.6842857142857144,0.6765417424268244,240,0.6165417424268245,0.7365417424268244
Calibrated,6,0.8071428571428572,0.8019714726469782,192,0.7419714726469782,0.8619714726469783
Calibrated,7,0.93,0.9279774801038311,129,0.8679774801038311,0.987977480103831
