sample,group,fraction,condition,n
S01,T cells,0.38435744140093764,Reference,1200
S01,B cells,0.171643374463628,Reference,1200
S01,Myeloid,0.12219448219142505,Reference,1200
S01,Stromal,0.16589439646258597,Reference,1200
S01,Endothelial,0.1040808428500171,Reference,1200
S01,Epithelial,0.051829462631406004,Reference,1200
S02,T cells,0.30930829479679706,Reference,1231
S02,B cells,0.16320243466365786,Reference,1231
S02,Myeloid,0.1794126051599671,Reference,1231
S02,Stromal,0.12251024489069585,Reference,1231
S02,Endothelial,0.10977779571727458,Reference,1231
S02,Epithelial,0.11578862477160755,Reference,1231
S03,T cells,0.26338422489541063,Reference,1262
S03,B cells,0.20627704451075354,Reference,1262
S03,Myeloid,0.07292913615613696,Reference,1262
S03,Stromal,0.0908509254720685,Reference,1262
S03,Endothelial,0.1595390705294969,Reference,1262
S03,Epithelial,0.20701959843613343,Reference,1262
S04,T cells,0.22105706821806295,Reference,1293
S04,B cells,0.14080102391412888,Reference,1293
S04,Myeloid,0.14668513287059307,Reference,1293
S04,Stromal,0.1399569006047798,Reference,1293
S04,Endothelial,0.14791431530295035,Reference,1293
S04,Epithelial,0.20358555908948506,Reference,1293
S05,T cells,0.3436856866783666,Reference,1324
S05,B cells,0.21622319251953306,Reference,1324
S05,Myeloid,0.0643623074991465,Reference,1324
S05,Stromal,0.1665400573919467,Reference,1324
S05,Endothelial,0.05985991520747187,Reference,1324
S05,Epithelial,0.14932884070353514,Reference,1324
S06,T cells,0.24640894449397643,Reference,1355
S06,B cells,0.16650697158155509,Reference,1355
S06,Myeloid,0.21262440269494665,Reference,1355
S06,Stromal,0.11914813365224354,Reference,1355
S06,Endothelial,0.11769003217411914,Reference,1355
S06,Epithelial,0.13762151540315928,Reference,1355
S07,T cells,0.18654036889390246,Comparison,1386
S07,B cells,0.04222522187534018,Comparison,1386
S07,Myeloid,0.359145020205295,Comparison,1386
S07,Stromal,0.26013797576811176,Comparison,1386
S07,Endothelial,0.10009315261269353,Comparison,1386
S07,Epithelial,0.051858260644656914,Comparison,1386
S08,T cells,0.15819896957119933,Comparison,1417
S08,B cells,0.13422014520503667,Comparison,1417
S08,Myeloid,0.2113906923935242,Comparison,1417
S08,Stromal,0.3359025481617853,Comparison,1417
S08,Endothelial,0.10848749963770213,Comparison,1417
S08,Epithelial,0.051800145030752365,Comparison,1417
S09,T cells,0.11134172438241528,Comparison,1448
S09,B cells,0.14455232440321833,Comparison,1448
S09,Myeloid,0.38448990923218834,Comparison,1448
S09,Stromal,0.17601242195570865,Comparison,1448
S09,Endothelial,0.052006564262359826,Comparison,1448
S09,Epithelial,0.13159705576410954,Comparison,1448
S10,T cells,0.10244734244666467,Comparison,1479
S10,B cells,0.09363618654837914,Comparison,1479
S10,Myeloid,0.48283624070652853,Comparison,1479
S10,Stromal,0.091655144965741,Comparison,1479
S10,Endothelial,0.07925773356452391,Comparison,1479
S10,Epithelial,0.1501673517681628,Comparison,1479
S11,T cells,0.10659653545112419,Comparison,1510
S11,B cells,0.11230911918953963,Comparison,1510
S11,Myeloid,0.3471411519913057,Comparison,1510
S11,Stromal,0.2030935188381399,Comparison,1510
S11,Endothelial,0.15559899429379828,Comparison,1510
S11,Epithelial,0.0752606802360923,Comparison,1510
S12,T cells,0.2107578833082617,Comparison,1541
S12,B cells,0.11891145713482294,Comparison,1541
S12,Myeloid,0.3435200707943553,Comparison,1541
S12,Stromal,0.20745067336748638,Comparison,1541
S12,Endothelial,0.04185404538834048,Comparison,1541
S12,Epithelial,0.07750587000673317,Comparison,1541
