row,column,value
Program 1,Program 1,1.0
Program 1,Program 2,0.8164265170023997
Program 1,Program 3,0.7722329967026014
Program 1,Program 4,0.16398460602477602
Program 1,Program 5,0.1000940948668336
Program 1,Program 6,0.1418943428341151
Program 1,Program 7,0.007276844327237937
Program 1,Program 8,0.06320214598102693
Program 2,Program 1,0.8164265170023997
Program 2,Program 2,0.9999999999999999
Program 2,Program 3,0.7605262640644032
Program 2,Program 4,0.1847508257864046
Program 2,Program 5,0.09283128688017783
Program 2,Program 6,0.14451039634665855
Program 2,Program 7,0.049016450327719875
Program 2,Program 8,0.03380434470389961
Program 3,Program 1,0.7722329967026014
Program 3,Program 2,0.7605262640644033
Program 3,Program 3,1.0
Program 3,Program 4,0.11626686904743933
Program 3,Program 5,0.03792187743637489
Program 3,Program 6,-0.03287412532004912
Program 3,Program 7,0.2450159869180714
Program 3,Program 8,0.3044810380808108
Program 4,Program 1,0.16398460602477602
Program 4,Program 2,0.18475082578640456
Program 4,Program 3,0.11626686904743931
Program 4,Program 4,0.9999999999999998
Program 4,Program 5,0.8050481149101003
Program 4,Program 6,0.6606847488840867
Program 4,Program 7,0.055432732356244865
Program 4,Program 8,0.06818457323841319
Program 5,Program 1,0.1000940948668336
Program 5,Program 2,0.09283128688017783
Program 5,Program 3,0.03792187743637489
Program 5,Program 4,0.8050481149101003
Program 5,Program 5,0.9999999999999999
Program 5,Program 6,0.4944044411939964
Program 5,Program 7,0.17365940745284236
Program 5,Program 8,0.21980610478242668
Program 6,Program 1,0.1418943428341151
Program 6,Program 2,0.14451039634665852
Program 6,Program 3,-0.03287412532004912
Program 6,Program 4,0.6606847488840867
Program 6,Program 5,0.4944044411939964
Program 6,Program 6,1.0
Program 6,Program 7,-0.40504812465990336
Program 6,Program 8,-0.28816718322600327
Program 7,Program 1,0.007276844327237937
Program 7,Program 2,0.049016450327719875
Program 7,Program 3,0.2450159869180714
Program 7,Program 4,0.05543273235624487
Program 7,Program 5,0.17365940745284236
Program 7,Program 6,-0.4050481246599033
Program 7,Program 7,1.0
Program 7,Program 8,0.7054842505880872
Program 8,Program 1,0.06320214598102693
Program 8,Program 2,0.03380434470389961
Program 8,Program 3,0.3044810380808108
Program 8,Program 4,0.06818457323841319
Program 8,Program 5,0.21980610478242665
Program 8,Program 6,-0.28816718322600327
Program 8,Program 7,0.7054842505880872
Program 8,Program 8,1.0
