id,group,condition,value
State A-Control-0,State A,Control,1.9223171285266678
State A-Control-1,State A,Control,1.4150594865828223
State A-Control-2,State A,Control,1.2363045785859375
State A-Control-3,State A,Control,1.4229766479943402
State A-Control-4,State A,Control,1.4899785083449444
State A-Control-5,State A,Control,1.2043806974860232
State A-Control-6,State A,Control,1.6516157886810487
State A-Control-7,State A,Control,1.9056235318363977
State A-Control-8,State A,Control,1.6311616535018567
State A-Control-9,State A,Control,1.4143698420316306
State A-Control-10,State A,Control,1.6849759992224238
State A-Control-11,State A,Control,0.8580063691008034
State A-Control-12,State A,Control,1.1781394122491913
State A-Control-13,State A,Control,1.0128029951532218
State A-Control-14,State A,Control,1.1591351172848265
State A-Control-15,State A,Control,1.011881103979658
State A-Control-16,State A,Control,1.4126502989796956
State A-Control-17,State A,Control,1.8109180463272594
State A-Control-18,State A,Control,1.3143710825859052
State A-Control-19,State A,Control,1.7523001837632546
State A-Control-20,State A,Control,1.3384473124850804
State A-Control-21,State A,Control,1.437408165338561
State A-Control-22,State A,Control,1.3190424483471956
State A-Control-23,State A,Control,0.9004983699563006
State A-Control-24,State A,Control,1.5545085119600577
State A-Control-25,State A,Control,1.4687269769863913
State A-Control-26,State A,Control,1.671899858554023
State A-Control-27,State A,Control,1.67341140480368
State A-Control-28,State A,Control,1.8125350727857603
State A-Control-29,State A,Control,1.6258420618094258
State A-Control-30,State A,Control,1.5616886445458285
State A-Control-31,State A,Control,1.0818273419971205
State A-Control-32,State A,Control,1.185163567375194
State A-Control-33,State A,Control,2.0096349415475077
State A-Control-34,State A,Control,1.7366349239435857
State A-Control-35,State A,Control,1.4625093424956253
State A-Perturbed-0,State A,Perturbed,2.0585020461155383
State A-Perturbed-1,State A,Perturbed,2.2049744100978166
State A-Perturbed-2,State A,Perturbed,1.664939680280975
State A-Perturbed-3,State A,Perturbed,1.3790157877964635
State A-Perturbed-4,State A,Perturbed,2.423480282646893
State A-Perturbed-5,State A,Perturbed,2.3241534596125417
State A-Perturbed-6,State A,Perturbed,1.6996104889319432
State A-Perturbed-7,State A,Perturbed,2.1964673083347925
State A-Perturbed-8,State A,Perturbed,1.7023088319585558
