group,feature,condition,mean,fraction,module
T cells,CD3D,Baseline,4.432526853467787,0.9265053706935575,Lymphoid
T cells,CD3D,Stimulated,4.98992830426678,0.96,Lymphoid
T cells,IL7R,Baseline,4.306736446811935,0.9013472893623871,Lymphoid
T cells,IL7R,Stimulated,4.899585272123295,0.96,Lymphoid
T cells,MS4A1,Baseline,1.112772297766592,0.26255445955331835,Lymphoid
T cells,MS4A1,Stimulated,1.8879085573096008,0.41758171146192014,Lymphoid
T cells,CD79A,Baseline,1.0442461798027487,0.24884923596054975,Lymphoid
T cells,CD79A,Stimulated,1.8855161268019383,0.41710322536038763,Lymphoid
T cells,LYZ,Baseline,0.3397585698255878,0.10795171396511755,Myeloid
T cells,LYZ,Stimulated,0.8389265049260384,0.20778530098520767,Myeloid
T cells,LST1,Baseline,0.32727284623727737,0.10545456924745547,Myeloid
T cells,LST1,Stimulated,0.9629320813509412,0.23258641627018825,Myeloid
T cells,COL1A1,Baseline,0.3925382840960014,0.11850765681920028,Matrix
T cells,COL1A1,Stimulated,0.9960220792067546,0.2392044158413509,Matrix
T cells,DCN,Baseline,0.3358289377714911,0.10716578755429823,Matrix
T cells,DCN,Stimulated,0.8538117237481467,0.21076234474962935,Matrix
T cells,PECAM1,Baseline,0.2366325106591946,0.08732650213183893,Vascular
T cells,PECAM1,Stimulated,0.899050412669155,0.219810082533831,Vascular
T cells,VWF,Baseline,0.258897331167625,0.091779466233525,Vascular
T cells,VWF,Stimulated,0.8223076053210898,0.20446152106421797,Vascular
T cells,EPCAM,Baseline,0.2629921224298556,0.09259842448597111,Epithelial
T cells,EPCAM,Stimulated,0.8436330912330796,0.20872661824661592,Epithelial
T cells,KRT8,Baseline,0.2037765508178612,0.08075531016357224,Epithelial
T cells,KRT8,Stimulated,0.9246346998785656,0.22492693997571314,Epithelial
B cells,CD3D,Baseline,1.228369852563662,0.28567397051273236,Lymphoid
B cells,CD3D,Stimulated,1.1903244046306136,0.2780648809261227,Lymphoid
B cells,IL7R,Baseline,1.2817576238676165,0.2963515247735233,Lymphoid
B cells,IL7R,Stimulated,1.087513554194804,0.2575027108389608,Lymphoid
B cells,MS4A1,Baseline,4.222096184300282,0.8844192368600565,Lymphoid
B cells,MS4A1,Stimulated,4.4123144978090085,0.9224628995618017,Lymphoid
