id,x,y,group,parent
cell0_0,-4.711230137151521,2.11443800352849,T cells,Immune
cell0_1,-3.1581384318925476,2.416356973385409,T cells,Immune
cell0_2,-4.666438144640804,2.078111739328514,T cells,Immune
cell0_3,-4.532944526756875,1.1035309912156392,T cells,Immune
cell0_4,-3.3366434755836845,2.0424485036577176,T cells,Immune
cell0_5,-3.735711791144436,2.042898201728786,T cells,Immune
cell0_6,-3.605283590081282,2.3195358358498734,T cells,Immune
cell0_7,-3.7944453653942496,2.105843268885521,T cells,Immune
cell0_8,-4.45946154929826,2.312025031960149,T cells,Immune
cell0_9,-2.9701320878973023,2.257585507007243,T cells,Immune
cell0_10,-3.8703958661591673,2.1030974631226558,T cells,Immune
cell0_11,-3.852511901728597,1.5815989910781227,T cells,Immune
cell0_12,-3.5778318201093366,2.097370229617105,T cells,Immune
cell0_13,-2.7205239545492192,3.2644750352957184,T cells,Immune
cell0_14,-4.162224054462136,1.8998844032366815,T cells,Immune
cell0_15,-3.3879541321252753,2.2604055303281827,T cells,Immune
cell0_16,-3.311674536951018,1.9346386514641667,T cells,Immune
cell0_17,-3.711774896377818,2.4904586188025712,T cells,Immune
cell0_18,-3.9972406122354007,2.077291758673372,T cells,Immune
cell0_19,-3.467443286299794,2.6730882093898756,T cells,Immune
cell0_20,-3.6041272734516907,2.038070017272124,T cells,Immune
cell0_21,-3.952494824704861,1.8852079876727847,T cells,Immune
cell0_22,-3.8649432647400843,2.1571622961086794,T cells,Immune
cell0_23,-5.660828261197661,1.9286362001802027,T cells,Immune
cell0_24,-4.408685529157724,1.3674373163233988,T cells,Immune
cell0_25,-4.013852762563161,1.7243528372862449,T cells,Immune
cell0_26,-4.0601790451335145,1.748401250647324,T cells,Immune
cell0_27,-3.6660568405490426,2.582135043961121,T cells,Immune
cell0_28,-6.083831825590966,1.178725396971382,T cells,Immune
cell0_29,-4.1547962845444335,1.5612758781457123,T cells,Immune
cell0_30,-4.192895644918837,1.8258515629226393,T cells,Immune
cell0_31,-3.061238362533352,1.9262356103221545,T cells,Immune
cell0_32,-4.26144429005781,2.0667384935830166,T cells,Immune
cell0_33,-3.9084022487514267,1.5157200058465141,T cells,Immune
cell0_34,-2.460898963795248,2.2400283404349084,T cells,Immune
cell0_35,-5.076917345120349,0.8503176283926206,T cells,Immune
cell0_36,-3.2968813789226283,1.662561271674245,T cells,Immune
cell0_37,-3.2239126094806703,2.162083916081678,T cells,Immune
cell0_38,-4.281029127984761,2.021628879041005,T cells,Immune
cell0_39,-4.294078599881575,2.1456809666104575,T cells,Immune
cell0_40,-3.5080654978022783,2.863915722005001,T cells,Immune
cell0_41,-3.675934313762966,2.6193188945480634,T cells,Immune
cell0_42,-4.792941518714423,0.9960306073932261,T cells,Immune
