term,effect,q,count,module,lower,upper
Cytokine signalling,2.3,0.0003010463321046292,32,Immune,2.05,2.6199999999999997
Antigen presentation,1.8444444444444443,0.0001570758745036786,53,Immune,1.5944444444444443,2.1644444444444444
Interferon response,1.3888888888888888,2.0299148282207524e-05,53,Immune,1.1388888888888888,1.708888888888889
T cell activation,0.9333333333333333,0.0024293971363198935,55,Immune,0.6833333333333333,1.2533333333333334
Matrix organisation,0.47777777777777786,2.581399977435094e-05,30,Tissue,0.22777777777777786,0.7977777777777779
Collagen assembly,0.022222222222222143,1.124418294958831e-06,41,Tissue,-0.22777777777777786,0.34222222222222215
Cell adhesion,-0.4333333333333331,0.006502104666295128,59,Tissue,-0.6833333333333331,-0.11333333333333312
Vascular development,-0.8888888888888884,4.2748680266819354e-05,51,Tissue,-1.1388888888888884,-0.5688888888888883
Oxidative metabolism,-1.344444444444444,0.0015515237778533477,57,Metabolic,-1.594444444444444,-1.024444444444444
Fatty acid transport,-1.8,0.0014672570751282272,19,Metabolic,-2.05,-1.48
