feature,group,value,module,n,condition
TF-1,Early1,1.610686326316757,TF,900,Early
TF-1,Early2,2.052908549603419,TF,1581,Early
TF-1,Early3,1.9268294426613406,TF,512,Early
TF-1,Mid1,-0.8836392263670052,TF,1340,Mid
TF-1,Mid2,-0.5505386705326575,TF,1482,Mid
TF-1,Mid3,-1.1212708370155808,TF,1011,Mid
TF-1,Late1,-0.8643668991106825,TF,1424,Late
TF-1,Late2,-1.2573473485995645,TF,661,Late
TF-1,Late3,-0.8698369300167277,TF,1399,Late
TF-2,Early1,2.2867057070988213,TF,900,Early
TF-2,Early2,1.7747560221795886,TF,1581,Early
TF-2,Early3,1.9893897743182976,TF,512,Early
TF-2,Mid1,-0.4569119028798002,TF,1340,Mid
TF-2,Mid2,-0.9922534134982416,TF,1482,Mid
TF-2,Mid3,-0.910976232580867,TF,1011,Mid
TF-2,Late1,-0.7739369750176668,TF,1424,Late
TF-2,Late2,-1.0613620540435293,TF,661,Late
TF-2,Late3,-0.9418991297614088,TF,1399,Late
TF-3,Early1,2.0233538438154346,TF,900,Early
TF-3,Early2,1.9806408156626567,TF,1581,Early
TF-3,Early3,2.3453372180956285,TF,512,Early
TF-3,Mid1,-1.100231097315064,TF,1340,Mid
TF-3,Mid2,-0.9845857189543267,TF,1482,Mid
TF-3,Mid3,-1.1197473617020388,TF,1011,Mid
TF-3,Late1,-1.12733037335843,TF,1424,Late
TF-3,Late2,-0.43353065314034467,TF,661,Late
TF-3,Late3,-1.0522433627855605,TF,1399,Late
TF-4,Early1,2.123334337250555,TF,900,Early
TF-4,Early2,1.8673727231078983,TF,1581,Early
TF-4,Early3,2.2665043395576316,TF,512,Early
TF-4,Mid1,-0.6466818838780037,TF,1340,Mid
TF-4,Mid2,-0.7998237212159085,TF,1482,Mid
TF-4,Mid3,-0.791664602405189,TF,1011,Mid
TF-4,Late1,-0.9681949001412194,TF,1424,Late
TF-4,Late2,-0.807306209821915,TF,661,Late
TF-4,Late3,-0.9405032406295597,TF,1399,Late
TF-5,Early1,1.7182109504049041,TF,900,Early
TF-5,Early2,1.9723802222208051,TF,1581,Early
TF-5,Early3,1.8577470162320848,TF,512,Early
TF-5,Mid1,-1.0792043060878667,TF,1340,Mid
TF-5,Mid2,-0.9925830689673861,TF,1482,Mid
TF-5,Mid3,-1.3403140388434296,TF,1011,Mid
TF-5,Late1,-1.0780416703210791,TF,1424,Late
TF-5,Late2,-1.1866754214282609,TF,661,Late
TF-5,Late3,-1.2933685578863157,TF,1399,Late
