sample,condition,value
S01,Before,3.1173719662715627
S01,After,5.077844859041101
S02,Before,3.9552856782438397
S02,After,6.565267671082898
S03,Before,4.368702758516738
S03,After,6.840556599978523
S04,Before,2.7844408498183633
S04,After,4.330933040538248
S05,Before,3.7024302574370864
S05,After,4.664661166856117
S06,Before,4.488442472694227
S06,After,5.311360992083477
S07,Before,4.2614139226718235
S07,After,3.8526261582081798
S08,Before,3.516632283350142
S08,After,5.293770245693651
S09,Before,3.323541867244452
S09,After,5.027337871223968
S10,Before,2.945138647474292
S10,After,2.5209918684532706
