model,recall,precision,lower,upper,threshold,operating_point
Baseline,0.0,1.0,0.955,1.0,1.0,False
Baseline,0.022727272727272728,0.9996126033057852,0.9546126033057851,1.0,0.9772727272727273,False
Baseline,0.045454545454545456,0.9984504132231405,0.9534504132231405,1.0,0.9545454545454546,False
Baseline,0.06818181818181818,0.9965134297520661,0.9515134297520661,1.0,0.9318181818181819,False
Baseline,0.09090909090909091,0.993801652892562,0.9488016528925619,1.0,0.9090909090909091,False
Baseline,0.11363636363636365,0.9903150826446281,0.945315082644628,1.0,0.8863636363636364,False
Baseline,0.13636363636363635,0.9860537190082644,0.9410537190082644,1.0,0.8636363636363636,False
Baseline,0.1590909090909091,0.9810175619834711,0.9360175619834711,1.0,0.8409090909090909,False
Baseline,0.18181818181818182,0.9752066115702479,0.9302066115702479,1.0,0.8181818181818181,False
Baseline,0.20454545454545456,0.968620867768595,0.923620867768595,1.0,0.7954545454545454,False
Baseline,0.2272727272727273,0.9612603305785123,0.9162603305785123,1.0,0.7727272727272727,False
Baseline,0.25,0.953125,0.908125,0.998125,0.75,False
Baseline,0.2727272727272727,0.9442148760330579,0.8992148760330578,0.9892148760330579,0.7272727272727273,True
Baseline,0.29545454545454547,0.934529958677686,0.8895299586776859,0.979529958677686,0.7045454545454546,False
Baseline,0.3181818181818182,0.9240702479338843,0.8790702479338842,0.9690702479338843,0.6818181818181819,False
Baseline,0.34090909090909094,0.9128357438016529,0.8678357438016528,0.9578357438016529,0.6590909090909091,False
Baseline,0.36363636363636365,0.9008264462809917,0.8558264462809917,0.9458264462809918,0.6363636363636364,False
Baseline,0.38636363636363635,0.8880423553719008,0.8430423553719008,0.9330423553719008,0.6136363636363636,False
Baseline,0.4090909090909091,0.8744834710743802,0.8294834710743801,0.9194834710743802,0.5909090909090908,False
Baseline,0.4318181818181818,0.8601497933884298,0.8151497933884297,0.9051497933884298,0.5681818181818181,False
Baseline,0.4545454545454546,0.8450413223140496,0.8000413223140496,0.8900413223140496,0.5454545454545454,False
Baseline,0.4772727272727273,0.8291580578512396,0.7841580578512396,0.8741580578512397,0.5227272727272727,False
Baseline,0.5,0.8125,0.7675,0.8575,0.5,False
Baseline,0.5227272727272727,0.7950671487603306,0.7500671487603305,0.8400671487603306,0.4772727272727273,False
Baseline,0.5454545454545454,0.7768595041322315,0.7318595041322314,0.8218595041322315,0.4545454545454546,False
Baseline,0.5681818181818182,0.7578770661157024,0.7128770661157023,0.8028770661157024,0.43181818181818177,False
Baseline,0.5909090909090909,0.7381198347107438,0.6931198347107438,0.7831198347107439,0.40909090909090906,False
Baseline,0.6136363636363636,0.7175878099173554,0.6725878099173553,0.7625878099173554,0.38636363636363635,False
Baseline,0.6363636363636364,0.6962809917355373,0.6512809917355372,0.7412809917355373,0.36363636363636365,False
Baseline,0.6590909090909091,0.6741993801652892,0.6291993801652892,0.7191993801652893,0.34090909090909094,False
Baseline,0.6818181818181819,0.6513429752066116,0.6063429752066115,0.6963429752066116,0.3181818181818181,False
Baseline,0.7045454545454546,0.6277117768595041,0.582711776859504,0.6727117768595041,0.2954545454545454,False
Baseline,0.7272727272727273,0.6033057851239669,0.5583057851239669,0.648305785123967,0.2727272727272727,False
Baseline,0.75,0.578125,0.533125,0.623125,0.25,False
Baseline,0.7727272727272727,0.5521694214876034,0.5071694214876034,0.5971694214876034,0.2272727272727273,False
Baseline,0.7954545454545455,0.5254390495867768,0.4804390495867768,0.5704390495867768,0.20454545454545447,False
Baseline,0.8181818181818182,0.4979338842975206,0.45293388429752063,0.5429338842975207,0.18181818181818177,False
Baseline,0.8409090909090909,0.46965392561983466,0.42465392561983467,0.5146539256198347,0.15909090909090906,False
Baseline,0.8636363636363636,0.440599173553719,0.39559917355371904,0.485599173553719,0.13636363636363635,False
Baseline,0.8863636363636364,0.4107696280991735,0.3657696280991735,0.4557696280991735,0.11363636363636365,False
Baseline,0.9090909090909092,0.3801652892561982,0.3351652892561982,0.4251652892561982,0.09090909090909083,False
Baseline,0.9318181818181819,0.3487861570247933,0.30378615702479334,0.3937861570247933,0.06818181818181812,False
Baseline,0.9545454545454546,0.31663223140495855,0.27163223140495857,0.36163223140495854,0.045454545454545414,False
Baseline,0.9772727272727273,0.2837035123966942,0.23870351239669424,0.3287035123966942,0.022727272727272707,False
Baseline,1.0,0.25,0.20500000000000002,0.295,0.0,False
Multimodal,0.0,1.0,0.955,1.0,1.0,False
Multimodal,0.022727272727272728,0.9999415977509212,0.9549415977509211,1.0,0.9772727272727273,False
Multimodal,0.045454545454545456,0.9996696269891183,0.9546696269891183,1.0,0.9545454545454546,False
Multimodal,0.06818181818181818,0.9990895990358722,0.9540895990358722,1.0,0.9318181818181819,False
Multimodal,0.09090909090909091,0.9981311280294767,0.9531311280294766,1.0,0.9090909090909091,False
Multimodal,0.11363636363636365,0.9967352150255202,0.9517352150255202,1.0,0.8863636363636364,False
Multimodal,0.13636363636363635,0.9948499944373317,0.9498499944373316,1.0,0.8636363636363636,False
Multimodal,0.1590909090909091,0.9924286264735945,0.9474286264735945,1.0,0.8409090909090909,False
Multimodal,0.18181818181818182,0.9894280636517879,0.9444280636517879,1.0,0.8181818181818181,False
Multimodal,0.20454545454545456,0.9858082534738385,0.9408082534738385,1.0,0.7954545454545454,False
Multimodal,0.2272727272727273,0.981531587243435,0.936531587243435,1.0,0.7727272727272727,False
Multimodal,0.25,0.9765625,0.9315625,1.0,0.75,False
Multimodal,0.2727272727272727,0.97086716914791,0.92586716914791,1.0,0.7272727272727273,False
Multimodal,0.29545454545454547,0.9644132806820975,0.9194132806820975,1.0,0.7045454545454546,False
Multimodal,0.3181818181818182,0.9571698434926593,0.9121698434926593,1.0,0.6818181818181819,False
Multimodal,0.34090909090909094,0.9491070389357217,0.9041070389357216,0.9941070389357217,0.6590909090909091,False
Multimodal,0.36363636363636365,0.9401960969432535,0.8951960969432534,0.9851960969432535,0.6363636363636364,False
Multimodal,0.38636363636363635,0.9304091925412592,0.8854091925412592,0.9754091925412592,0.6136363636363636,True
Multimodal,0.4090909090909091,0.9197193583557645,0.8747193583557644,0.9647193583557645,0.5909090909090908,False
Multimodal,0.4318181818181818,0.908100409846512,0.8631004098465119,0.953100409846512,0.5681818181818181,False
Multimodal,0.4545454545454546,0.8955268808166463,0.8505268808166463,0.9405268808166464,0.5454545454545454,False
Multimodal,0.4772727272727273,0.8819739673226545,0.8369739673226545,0.9269739673226546,0.5227272727272727,False
Multimodal,0.5,0.8674174785275224,0.8224174785275223,0.9124174785275224,0.5,False
Multimodal,0.5227272727272727,0.8518337933498582,0.8068337933498582,0.8968337933498582,0.4772727272727273,False
Multimodal,0.5454545454545454,0.8351998219946124,0.7901998219946124,0.8801998219946124,0.4545454545454546,False
Multimodal,0.5681818181818182,0.8174929716285813,0.7724929716285812,0.8624929716285813,0.43181818181818177,False
Multimodal,0.5909090909090909,0.7986911156010308,0.7536911156010307,0.8436911156010308,0.40909090909090906,False
Multimodal,0.6136363636363636,0.7787725657169421,0.733772565716942,0.8237725657169421,0.38636363636363635,False
Multimodal,0.6363636363636364,0.7577160471550259,0.7127160471550259,0.802716047155026,0.36363636363636365,False
Multimodal,0.6590909090909091,0.7355006756901667,0.6905006756901667,0.7805006756901668,0.34090909090909094,False
Multimodal,0.6818181818181819,0.712105936934287,0.667105936934287,0.7571059369342871,0.3181818181818181,False
Multimodal,0.7045454545454546,0.6875116673537184,0.6425116673537183,0.7325116673537184,0.2954545454545454,False
Multimodal,0.7272727272727273,0.6616980368572132,0.6166980368572131,0.7066980368572132,0.2727272727272727,False
Multimodal,0.75,0.6346455327784399,0.5896455327784399,0.67964553277844,0.25,False
Multimodal,0.7727272727272727,0.606334945101416,0.5613349451014159,0.651334945101416,0.2272727272727273,False
Multimodal,0.7954545454545455,0.5767473527978784,0.5317473527978783,0.6217473527978784,0.20454545454545447,False
Multimodal,0.8181818181818182,0.5458641111628312,0.5008641111628311,0.5908641111628312,0.18181818181818177,False
Multimodal,0.8409090909090909,0.5136668400490463,0.4686668400490463,0.5586668400490463,0.15909090909090906,False
Multimodal,0.8636363636363636,0.48013741291363343,0.43513741291363345,0.5251374129136335,0.13636363636363635,False
Multimodal,0.8863636363636364,0.4452579466003005,0.4002579466003005,0.4902579466003005,0.11363636363636365,False
Multimodal,0.9090909090909092,0.40901079178992195,0.36401079178992196,0.45401079178992193,0.09090909090909083,False
Multimodal,0.9318181818181819,0.3713785240597699,0.3263785240597699,0.4163785240597699,0.06818181818181812,False
Multimodal,0.9545454545454546,0.3323439354984319,0.2873439354984319,0.37734393549843187,0.045454545454545414,False
Multimodal,0.9772727272727273,0.2918900268292326,0.2468900268292326,0.3368900268292326,0.022727272727272707,False
Multimodal,1.0,0.25,0.20500000000000002,0.295,0.0,False
Fine-tuned,0.0,1.0,0.955,1.0,1.0,False
Fine-tuned,0.022727272727272728,0.999991195529677,0.9549911955296769,1.0,0.9772727272727273,False
Fine-tuned,0.045454545454545456,0.9999295642374155,0.9549295642374155,1.0,0.9545454545454546,False
Fine-tuned,0.06818181818181818,0.9997622793012773,0.9547622793012772,1.0,0.9318181818181819,False
Fine-tuned,0.09090909090909091,0.9994365138993239,0.9544365138993238,1.0,0.9090909090909091,False
