model,fpr,tpr,lower,upper,threshold,operating_point
Baseline,0.0,0.0,0.0,0.045,1.0,False
Baseline,0.022727272727272728,0.055853369105643536,0.010853369105643537,0.10085336910564353,0.9772727272727273,False
Baseline,0.045454545454545456,0.10979191399790911,0.06479191399790911,0.1547919139979091,0.9545454545454546,False
Baseline,0.06818181818181818,0.16183803207969316,0.11683803207969316,0.20683803207969315,0.9318181818181819,False
Baseline,0.09090909090909091,0.21201438905322956,0.16701438905322957,0.25701438905322954,0.9090909090909091,False
Baseline,0.11363636363636365,0.2603439288004007,0.2153439288004007,0.3053439288004007,0.8863636363636364,False
Baseline,0.13636363636363635,0.3068498838848446,0.2618498838848446,0.35184988388484456,0.8636363636363636,False
Baseline,0.1590909090909091,0.35155578673206167,0.3065557867320617,0.39655578673206165,0.8409090909090909,False
Baseline,0.18181818181818182,0.3944854815504417,0.34948548155044173,0.4394854815504417,0.8181818181818181,False
Baseline,0.20454545454545456,0.43566313706383797,0.390663137063838,0.48066313706383795,0.7954545454545454,False
Baseline,0.2272727272727273,0.47511326013522126,0.4301132601352213,0.5201132601352213,0.7727272727272727,False
Baseline,0.25,0.5128607103712532,0.46786071037125326,0.5578607103712533,0.75,False
Baseline,0.2727272727272727,0.5489307158096175,0.5039307158096175,0.5939307158096175,0.7272727272727273,True
Baseline,0.29545454545454547,0.5833488898049579,0.5383488898049579,0.628348889804958,0.7045454545454546,False
Baseline,0.3181818181818182,0.6161412492457161,0.5711412492457161,0.6611412492457162,0.6818181818181819,False
Baseline,0.34090909090909094,0.6473342342535555,0.6023342342535555,0.6923342342535556,0.6590909090909091,False
Baseline,0.36363636363636365,0.6769547295400347,0.6319547295400346,0.7219547295400347,0.6363636363636364,False
Baseline,0.38636363636363635,0.7050300876225895,0.6600300876225894,0.7500300876225895,0.6136363636363636,False
Baseline,0.4090909090909091,0.7315881541347078,0.6865881541347078,0.7765881541347078,0.5909090909090908,False
Baseline,0.4318181818181818,0.756657295504775,0.711657295504775,0.801657295504775,0.5681818181818181,False
Baseline,0.4545454545454546,0.7802664293261499,0.7352664293261498,0.8252664293261499,0.5454545454545454,False
Baseline,0.4772727272727273,0.802445057799811,0.757445057799811,0.847445057799811,0.5227272727272727,False
Baseline,0.5,0.8232233047033631,0.7782233047033631,0.8682233047033632,0.5,False
Baseline,0.5227272727272727,0.842631956430206,0.797631956430206,0.8876319564302061,0.4772727272727273,False
Baseline,0.5454545454545454,0.8607025077555285,0.8157025077555284,0.9057025077555285,0.4545454545454546,False
Baseline,0.5681818181818182,0.8774672131286827,0.8324672131286827,0.9224672131286827,0.43181818181818177,False
Baseline,0.5909090909090909,0.8929591444743527,0.8479591444743526,0.9379591444743527,0.40909090909090906,False
Baseline,0.6136363636363636,0.9072122567216789,0.8622122567216789,0.952212256721679,0.38636363636363635,False
Baseline,0.6363636363636364,0.9202614625910046,0.8752614625910046,0.9652614625910046,0.36363636363636365,False
Baseline,0.6590909090909091,0.9321427185809623,0.8871427185809623,0.9771427185809624,0.34090909090909094,False
Baseline,0.6818181818181819,0.942893124656879,0.897893124656879,0.9878931246568791,0.3181818181818181,False
Baseline,0.7045454545454546,0.9525510409094634,0.9075510409094634,0.9975510409094634,0.2954545454545454,False
Baseline,0.7272727272727273,0.9611562255305468,0.9161562255305468,1.0,0.2727272727272727,False
Baseline,0.75,0.96875,0.92375,1.0,0.25,False
Baseline,0.7727272727272727,0.9753754496579135,0.9303754496579134,1.0,0.2272727272727273,False
Baseline,0.7954545454545455,0.9810776712984514,0.9360776712984513,1.0,0.20454545454545447,False
Baseline,0.8181818181818182,0.9859040848690506,0.9409040848690505,1.0,0.18181818181818177,False
Baseline,0.8409090909090909,0.9899048352981261,0.9449048352981261,1.0,0.15909090909090906,False
Baseline,0.8636363636363636,0.9931333259164422,0.9481333259164422,1.0,0.13636363636363635,False
Baseline,0.8863636363636364,0.9956469533673603,0.9506469533673603,1.0,0.11363636363636365,False
