id,x,y,value,section,vertices
s1_13,156,12,5.357457358782602,section1,"[[161.5, 12.0], [158.75, 16.76313972081441], [153.25, 16.763139720814415], [150.5, 12.0], [153.25, 7.2368602791855885], [158.75, 7.236860279185585]]"
s1_14,168,12,5.344480619112444,section1,"[[173.5, 12.0], [170.75, 16.76313972081441], [165.25, 16.763139720814415], [162.5, 12.0], [165.25, 7.2368602791855885], [170.75, 7.236860279185585]]"
s1_15,180,12,5.300050362208706,section1,"[[185.5, 12.0], [182.75, 16.76313972081441], [177.25, 16.763139720814415], [174.5, 12.0], [177.25, 7.2368602791855885], [182.75, 7.236860279185585]]"
s1_16,192,12,5.224805616384392,section1,"[[197.5, 12.0], [194.75, 16.76313972081441], [189.25, 16.763139720814415], [186.5, 12.0], [189.25, 7.2368602791855885], [194.75, 7.236860279185585]]"
s1_17,204,12,5.119828606374112,section1,"[[209.5, 12.0], [206.75, 16.76313972081441], [201.25, 16.763139720814415], [198.5, 12.0], [201.25, 7.2368602791855885], [206.75, 7.236860279185585]]"
s1_18,216,12,4.986629187989779,section1,"[[221.5, 12.0], [218.75, 16.76313972081441], [213.25, 16.763139720814415], [210.5, 12.0], [213.25, 7.2368602791855885], [218.75, 7.236860279185585]]"
s1_19,228,12,4.827123132274705,section1,"[[233.5, 12.0], [230.75, 16.76313972081441], [225.25, 16.763139720814415], [222.5, 12.0], [225.25, 7.2368602791855885], [230.75, 7.236860279185585]]"
s1_20,240,12,4.643604571489209,section1,"[[245.5, 12.0], [242.75, 16.76313972081441], [237.25, 16.763139720814415], [234.5, 12.0], [237.25, 7.2368602791855885], [242.75, 7.236860279185585]]"
s1_21,252,12,4.4387130032296565,section1,"[[257.5, 12.0], [254.75, 16.76313972081441], [249.25, 16.763139720814415], [246.5, 12.0], [249.25, 7.2368602791855885], [254.75, 7.236860279185585]]"
s1_22,264,12,4.215395327251702,section1,"[[269.5, 12.0], [266.75, 16.76313972081441], [261.25, 16.763139720814415], [258.5, 12.0], [261.25, 7.2368602791855885], [266.75, 7.236860279185585]]"
s2_10,120,24,5.08382659208367,section1,"[[125.5, 24.0], [122.75, 28.76313972081441], [117.25, 28.763139720814415], [114.5, 24.0], [117.25, 19.23686027918559], [122.75, 19.236860279185585]]"
s2_11,132,24,5.164513823215956,section1,"[[137.5, 24.0], [134.75, 28.76313972081441], [129.25, 28.763139720814415], [126.5, 24.0], [129.25, 19.23686027918559], [134.75, 19.236860279185585]]"
s2_12,144,24,5.214548968977483,section1,"[[149.5, 24.0], [146.75, 28.76313972081441], [141.25, 28.763139720814415], [138.5, 24.0], [141.25, 19.23686027918559], [146.75, 19.236860279185585]]"
s2_13,156,24,5.233212387461698,section1,"[[161.5, 24.0], [158.75, 28.76313972081441], [153.25, 28.763139720814415], [150.5, 24.0], [153.25, 19.23686027918559], [158.75, 19.236860279185585]]"
s2_14,168,24,5.220235647791539,section1,"[[173.5, 24.0], [170.75, 28.76313972081441], [165.25, 28.763139720814415], [162.5, 24.0], [165.25, 19.23686027918559], [170.75, 19.236860279185585]]"
s2_15,180,24,5.175805390887802,section1,"[[185.5, 24.0], [182.75, 28.76313972081441], [177.25, 28.763139720814415], [174.5, 24.0], [177.25, 19.23686027918559], [182.75, 19.236860279185585]]"
s2_16,192,24,5.100560645063488,section1,"[[197.5, 24.0], [194.75, 28.76313972081441], [189.25, 28.763139720814415], [186.5, 24.0], [189.25, 19.23686027918559], [194.75, 19.236860279185585]]"
s2_17,204,24,4.995583635053208,section1,"[[209.5, 24.0], [206.75, 28.76313972081441], [201.25, 28.763139720814415], [198.5, 24.0], [201.25, 19.23686027918559], [206.75, 19.236860279185585]]"
