id,x,y,section,group,fraction
p3_1,48,16,section1,T cells,0.8663935381545063
p3_1,48,16,section1,B cells,0.04992324408835171
p3_1,48,16,section1,Myeloid,0.08368321775714205
p4_1,64,16,section1,T cells,0.504476648299292
p4_1,64,16,section1,B cells,0.2139411117627672
p4_1,64,16,section1,Myeloid,0.28158223993794074
p5_1,80,16,section1,T cells,0.7297538401784136
p5_1,80,16,section1,B cells,0.08994513412390794
p5_1,80,16,section1,Myeloid,0.18030102569767845
p6_1,96,16,section1,T cells,0.567594058290958
p6_1,96,16,section1,B cells,0.3521174081135747
p6_1,96,16,section1,Myeloid,0.08028853359546718
p7_1,112,16,section1,T cells,0.03238359116827955
p7_1,112,16,section1,B cells,0.6397643664392003
p7_1,112,16,section1,Myeloid,0.32785204239252014
p8_1,128,16,section1,T cells,0.14764282953795416
p8_1,128,16,section1,B cells,0.06466466474573575
p8_1,128,16,section1,Myeloid,0.7876925057163102
p9_1,144,16,section1,T cells,0.17246732634906586
p9_1,144,16,section1,B cells,0.1898479317345416
p9_1,144,16,section1,Myeloid,0.6376847419163925
p10_1,160,16,section1,T cells,0.10722871630436598
p10_1,160,16,section1,B cells,0.24782797208342916
p10_1,160,16,section1,Myeloid,0.6449433116122049
p11_1,176,16,section1,T cells,0.018180346629501402
p11_1,176,16,section1,B cells,0.5109743880441593
p11_1,176,16,section1,Myeloid,0.4708452653263393
p12_1,192,16,section1,T cells,0.24775419139255492
p12_1,192,16,section1,B cells,0.048065354652805814
p12_1,192,16,section1,Myeloid,0.7041804539546394
p1_2,16,32,section1,T cells,0.6388746963837648
p1_2,16,32,section1,B cells,0.1065551173673094
p1_2,16,32,section1,Myeloid,0.25457018624892563
p2_2,32,32,section1,T cells,0.6530224533848037
p2_2,32,32,section1,B cells,0.24731768710064878
p2_2,32,32,section1,Myeloid,0.09965985951454759
p3_2,48,32,section1,T cells,0.5721555793478623
p3_2,48,32,section1,B cells,0.08341829708601811
p3_2,48,32,section1,Myeloid,0.34442612356611957
p4_2,64,32,section1,T cells,0.6667997565483129
p4_2,64,32,section1,B cells,0.18310910743968928
p4_2,64,32,section1,Myeloid,0.1500911360119977
p5_2,80,32,section1,T cells,0.5482327909623513
p5_2,80,32,section1,B cells,0.19734036079896278
p5_2,80,32,section1,Myeloid,0.25442684823868583
p6_2,96,32,section1,T cells,0.6111910736521404
p6_2,96,32,section1,B cells,0.09107301309032588
p6_2,96,32,section1,Myeloid,0.2977359132575337
p7_2,112,32,section1,T cells,0.08708397075334061
p7_2,112,32,section1,B cells,0.6879765542956657
p7_2,112,32,section1,Myeloid,0.22493947495099365
p8_2,128,32,section1,T cells,0.023612390732660405
p8_2,128,32,section1,B cells,0.15686844132532726
p8_2,128,32,section1,Myeloid,0.8195191679420123
p9_2,144,32,section1,T cells,0.39715602743233475
p9_2,144,32,section1,B cells,0.061109033962748915
p9_2,144,32,section1,Myeloid,0.5417349386049164
p10_2,160,32,section1,T cells,0.28798943602522425
p10_2,160,32,section1,B cells,0.05096956951395692
p10_2,160,32,section1,Myeloid,0.6610409944608189
p11_2,176,32,section1,T cells,0.005011220081430328
p11_2,176,32,section1,B cells,0.5636636829235766
p11_2,176,32,section1,Myeloid,0.4313250969949931
p12_2,192,32,section1,T cells,0.04416340536434208
p12_2,192,32,section1,B cells,0.18208722448858608
p12_2,192,32,section1,Myeloid,0.7737493701470718
p13_2,208,32,section1,T cells,0.05769981484605506
p13_2,208,32,section1,B cells,0.05867951794569832
p13_2,208,32,section1,Myeloid,0.8836206672082466
p1_3,16,48,section1,T cells,0.48572317806183324
p1_3,16,48,section1,B cells,0.34968768077127227
p1_3,16,48,section1,Myeloid,0.1645891411668945
p2_3,32,48,section1,T cells,0.6686819837376867
p2_3,32,48,section1,B cells,0.030917901736518063
p2_3,32,48,section1,Myeloid,0.30040011452579535
p3_3,48,48,section1,T cells,0.5452422268083573
p3_3,48,48,section1,B cells,0.18660496316381736
p3_3,48,48,section1,Myeloid,0.26815281002782543
p4_3,64,48,section1,T cells,0.6610223506062841
p4_3,64,48,section1,B cells,0.15952008240481666
p4_3,64,48,section1,Myeloid,0.17945756698889917
p5_3,80,48,section1,T cells,0.7504249342591497
p5_3,80,48,section1,B cells,0.09097249541091817
p5_3,80,48,section1,Myeloid,0.15860257032993216
p6_3,96,48,section1,T cells,0.5912042037206033
p6_3,96,48,section1,B cells,0.2970503947126232
p6_3,96,48,section1,Myeloid,0.11174540156677344
p7_3,112,48,section1,T cells,0.15964609746054773
p7_3,112,48,section1,B cells,0.4891945389659564
p7_3,112,48,section1,Myeloid,0.35115936357349586
p8_3,128,48,section1,T cells,0.19436264772238918
p8_3,128,48,section1,B cells,0.015355980570939204
p8_3,128,48,section1,Myeloid,0.7902813717066716
p9_3,144,48,section1,T cells,0.0720522260774741
p9_3,144,48,section1,B cells,0.17119670105728815
p9_3,144,48,section1,Myeloid,0.7567510728652377
p10_3,160,48,section1,T cells,0.07516874771984146
p10_3,160,48,section1,B cells,0.038301750533745495
p10_3,160,48,section1,Myeloid,0.8865295017464132
p11_3,176,48,section1,T cells,0.04364807973646061
p11_3,176,48,section1,B cells,0.2137163955328191
p11_3,176,48,section1,Myeloid,0.7426355247307203
p12_3,192,48,section1,T cells,0.0329228832856986
p12_3,192,48,section1,B cells,0.02412667385922265
p12_3,192,48,section1,Myeloid,0.9429504428550788
p13_3,208,48,section1,T cells,0.13395210517133496
p13_3,208,48,section1,B cells,0.18735245253725946
p13_3,208,48,section1,Myeloid,0.6786954422914057
p14_3,224,48,section1,T cells,0.06298924014078469
p14_3,224,48,section1,B cells,0.440138485609781
p14_3,224,48,section1,Myeloid,0.4968722742494344
p0_4,0,64,section1,T cells,0.2973461253797377
p0_4,0,64,section1,B cells,0.6618289943083185
p0_4,0,64,section1,Myeloid,0.04082488031194372
p1_4,16,64,section1,T cells,0.6259742572491056
p1_4,16,64,section1,B cells,0.20937983313758154
p1_4,16,64,section1,Myeloid,0.16464590961331296
p2_4,32,64,section1,T cells,0.5368614529962502
p2_4,32,64,section1,B cells,0.40275248591294566
p2_4,32,64,section1,Myeloid,0.060386061090804286
p3_4,48,64,section1,T cells,0.5284498042948795
p3_4,48,64,section1,B cells,0.29322990084723205
p3_4,48,64,section1,Myeloid,0.17832029485788833
p4_4,64,64,section1,T cells,0.7156727228072375
p4_4,64,64,section1,B cells,0.2636760270731048
p4_4,64,64,section1,Myeloid,0.020651250119657648
p5_4,80,64,section1,T cells,0.49608793589731187
p5_4,80,64,section1,B cells,0.2727617049723213
p5_4,80,64,section1,Myeloid,0.23115035913036686
p6_4,96,64,section1,T cells,0.18934475632812886
p6_4,96,64,section1,B cells,0.7232734321186725
p6_4,96,64,section1,Myeloid,0.08738181155319882
p7_4,112,64,section1,T cells,0.11699828170778494
p7_4,112,64,section1,B cells,0.5698347684822931
p7_4,112,64,section1,Myeloid,0.31316694980992194
p8_4,128,64,section1,T cells,0.08013716137510037
p8_4,128,64,section1,B cells,0.5690502899010115
p8_4,128,64,section1,Myeloid,0.35081254872388823
p9_4,144,64,section1,T cells,0.004775210313839327
p9_4,144,64,section1,B cells,0.5319052855245324
p9_4,144,64,section1,Myeloid,0.46331950416162815
p10_4,160,64,section1,T cells,0.04647139666816554
p10_4,160,64,section1,B cells,0.5909925505379268
p10_4,160,64,section1,Myeloid,0.3625360527939077
p11_4,176,64,section1,T cells,0.039134306688086325
p11_4,176,64,section1,B cells,0.503249185314229
p11_4,176,64,section1,Myeloid,0.4576165079976847
p12_4,192,64,section1,T cells,0.030827039641530968
p12_4,192,64,section1,B cells,0.5768497313413872
p12_4,192,64,section1,Myeloid,0.39232322901708166
p13_4,208,64,section1,T cells,0.028969162580776985
p13_4,208,64,section1,B cells,0.43647126241175344
p13_4,208,64,section1,Myeloid,0.5345595750074695
p14_4,224,64,section1,T cells,0.05859413938583896
p14_4,224,64,section1,B cells,0.37577624931226317
p14_4,224,64,section1,Myeloid,0.5656296113018978
p1_5,16,80,section1,T cells,0.4328134875317278
p1_5,16,80,section1,B cells,0.15299741429978228
p1_5,16,80,section1,Myeloid,0.41418909816849003
p2_5,32,80,section1,T cells,0.38824237465926015
p2_5,32,80,section1,B cells,0.39973847758427417
p2_5,32,80,section1,Myeloid,0.21201914775646563
p3_5,48,80,section1,T cells,0.3573612208331529
p3_5,48,80,section1,B cells,0.4933367164740106
p3_5,48,80,section1,Myeloid,0.14930206269283655
p4_5,64,80,section1,T cells,0.30325491368574337
p4_5,64,80,section1,B cells,0.6077606122691829
p4_5,64,80,section1,Myeloid,0.08898447404507372
p5_5,80,80,section1,T cells,0.18989655525736418
p5_5,80,80,section1,B cells,0.4389913686502056
p5_5,80,80,section1,Myeloid,0.3711120760924302
p6_5,96,80,section1,T cells,0.460972833219657
p6_5,96,80,section1,B cells,0.3157922642077115
p6_5,96,80,section1,Myeloid,0.22323490257263154
p7_5,112,80,section1,T cells,0.38134364160427403
p7_5,112,80,section1,B cells,0.5632195827451532
p7_5,112,80,section1,Myeloid,0.05543677565057276
p8_5,128,80,section1,T cells,0.03185942294474016
p8_5,128,80,section1,B cells,0.3173688336002107
p8_5,128,80,section1,Myeloid,0.6507717434550492
p9_5,144,80,section1,T cells,0.09078561311966381
p9_5,144,80,section1,B cells,0.35484913676423735
p9_5,144,80,section1,Myeloid,0.5543652501160989
p10_5,160,80,section1,T cells,0.13819832599484624
p10_5,160,80,section1,B cells,0.4625554671664812
p10_5,160,80,section1,Myeloid,0.3992462068386725
p11_5,176,80,section1,T cells,0.3912936148989573
p11_5,176,80,section1,B cells,0.2513480913886304
p11_5,176,80,section1,Myeloid,0.35735829371241234
p12_5,192,80,section1,T cells,0.1403508566814799
p12_5,192,80,section1,B cells,0.15876611170233346
p12_5,192,80,section1,Myeloid,0.7008830316161866
p13_5,208,80,section1,T cells,0.0561646755740064
p13_5,208,80,section1,B cells,0.24167736759898997
p13_5,208,80,section1,Myeloid,0.7021579568270037
p14_5,224,80,section1,T cells,0.07379715829289529
p14_5,224,80,section1,B cells,0.5416904653963696
p14_5,224,80,section1,Myeloid,0.3845123763107351
p1_6,16,96,section1,T cells,0.41632631601543385
p1_6,16,96,section1,B cells,0.3971855913854587
p1_6,16,96,section1,Myeloid,0.18648809259910745
p2_6,32,96,section1,T cells,0.35425019541636177
p2_6,32,96,section1,B cells,0.24786461717468955
p2_6,32,96,section1,Myeloid,0.39788518740894874
p3_6,48,96,section1,T cells,0.7256066962317061
p3_6,48,96,section1,B cells,0.2249560603281628
p3_6,48,96,section1,Myeloid,0.049437243440131194
p4_6,64,96,section1,T cells,0.3929636639804205
p4_6,64,96,section1,B cells,0.3822920647647353
p4_6,64,96,section1,Myeloid,0.22474427125484428
p5_6,80,96,section1,T cells,0.49128730949340027
p5_6,80,96,section1,B cells,0.3461136336422224
p5_6,80,96,section1,Myeloid,0.1625990568643774
p6_6,96,96,section1,T cells,0.4729138883280748
p6_6,96,96,section1,B cells,0.3345094640565789
p6_6,96,96,section1,Myeloid,0.19257664761534624
p7_6,112,96,section1,T cells,0.1684729848755012
p7_6,112,96,section1,B cells,0.6127759209294017
p7_6,112,96,section1,Myeloid,0.21875109419509714
p8_6,128,96,section1,T cells,0.11168680320693136
p8_6,128,96,section1,B cells,0.3542274770467468
p8_6,128,96,section1,Myeloid,0.5340857197463219
p9_6,144,96,section1,T cells,0.07673384359218295
p9_6,144,96,section1,B cells,0.5428420011345267
p9_6,144,96,section1,Myeloid,0.38042415527329043
p10_6,160,96,section1,T cells,0.053200131064091535
p10_6,160,96,section1,B cells,0.42826028409795514
