item,set
feature_0_0,RNA
feature_0_1,RNA
feature_0_2,RNA
feature_0_3,RNA
feature_0_4,RNA
feature_0_5,RNA
feature_0_6,RNA
feature_0_7,RNA
feature_0_8,RNA
feature_0_9,RNA
feature_0_10,RNA
feature_0_11,RNA
feature_0_12,RNA
feature_0_13,RNA
feature_0_14,RNA
feature_0_15,RNA
feature_0_16,RNA
feature_0_17,RNA
feature_0_18,RNA
feature_0_19,RNA
feature_0_20,RNA
feature_0_21,RNA
feature_0_22,RNA
feature_0_23,RNA
feature_0_24,RNA
feature_0_25,RNA
feature_0_26,RNA
feature_0_27,RNA
feature_0_28,RNA
feature_0_29,RNA
feature_0_30,RNA
feature_0_31,RNA
feature_0_32,RNA
feature_0_33,RNA
feature_0_34,RNA
feature_0_35,RNA
feature_0_36,RNA
feature_0_37,RNA
feature_0_38,RNA
feature_0_39,RNA
feature_0_40,RNA
feature_0_41,RNA
feature_1_0,ATAC
feature_1_1,ATAC
feature_1_2,ATAC
feature_1_3,ATAC
feature_1_4,ATAC
feature_1_5,ATAC
feature_1_6,ATAC
feature_1_7,ATAC
feature_1_8,ATAC
feature_1_9,ATAC
feature_1_10,ATAC
feature_1_11,ATAC
feature_1_12,ATAC
feature_1_13,ATAC
feature_1_14,ATAC
feature_1_15,ATAC
feature_1_16,ATAC
feature_1_17,ATAC
feature_1_18,ATAC
feature_1_19,ATAC
feature_1_20,ATAC
feature_1_21,ATAC
feature_1_22,ATAC
feature_1_23,ATAC
feature_1_24,ATAC
feature_1_25,ATAC
feature_1_26,ATAC
feature_1_27,ATAC
feature_1_28,ATAC
feature_1_29,ATAC
feature_1_30,ATAC
feature_1_31,ATAC
feature_1_32,ATAC
feature_1_33,ATAC
feature_1_34,ATAC
feature_1_35,ATAC
feature_1_36,ATAC
feature_1_37,ATAC
feature_1_38,ATAC
feature_2_0,Protein
feature_2_1,Protein
feature_2_2,Protein
feature_2_3,Protein
feature_2_4,Protein
feature_2_5,Protein
feature_2_6,Protein
feature_2_7,Protein
feature_2_8,Protein
feature_2_9,Protein
feature_2_10,Protein
feature_2_11,Protein
feature_2_12,Protein
feature_2_13,Protein
feature_2_14,Protein
feature_2_15,Protein
feature_2_16,Protein
feature_2_17,Protein
feature_2_18,Protein
feature_2_19,Protein
feature_2_20,Protein
feature_2_21,Protein
feature_2_22,Protein
feature_2_23,Protein
feature_2_24,Protein
feature_2_25,Protein
feature_2_26,Protein
feature_2_27,Protein
feature_2_28,Protein
feature_2_29,Protein
feature_2_30,Protein
feature_2_31,Protein
feature_2_32,Protein
feature_2_33,Protein
feature_2_34,Protein
feature_2_35,Protein
feature_3_0,Spatial
feature_3_1,Spatial
feature_3_2,Spatial
feature_3_3,Spatial
feature_3_4,Spatial
feature_3_5,Spatial
feature_3_6,Spatial
feature_3_7,Spatial
feature_3_8,Spatial
feature_3_9,Spatial
feature_3_10,Spatial
feature_3_11,Spatial
feature_3_12,Spatial
feature_3_13,Spatial
feature_3_14,Spatial
feature_3_15,Spatial
feature_3_16,Spatial
feature_3_17,Spatial
feature_3_18,Spatial
feature_3_19,Spatial
feature_3_20,Spatial
feature_3_21,Spatial
feature_3_22,Spatial
feature_3_23,Spatial
feature_3_24,Spatial
feature_3_25,Spatial
feature_3_26,Spatial
feature_3_27,Spatial
feature_3_28,Spatial
feature_3_29,Spatial
feature_3_30,Spatial
feature_3_31,Spatial
feature_3_32,Spatial
feature_4_0,RNA
feature_4_0,ATAC
feature_4_1,RNA
feature_4_1,ATAC
feature_4_2,RNA
feature_4_2,ATAC
feature_4_3,RNA
feature_4_3,ATAC
feature_4_4,RNA
feature_4_4,ATAC
feature_4_5,RNA
feature_4_5,ATAC
feature_4_6,RNA
feature_4_6,ATAC
feature_4_7,RNA
feature_4_7,ATAC
feature_4_8,RNA
feature_4_8,ATAC
feature_4_9,RNA
feature_4_9,ATAC
feature_4_10,RNA
feature_4_10,ATAC
feature_4_11,RNA
feature_4_11,ATAC
feature_4_12,RNA
feature_4_12,ATAC
feature_4_13,RNA
feature_4_13,ATAC
feature_4_14,RNA
feature_4_14,ATAC
feature_4_15,RNA
feature_4_15,ATAC
feature_4_16,RNA
feature_4_16,ATAC
feature_4_17,RNA
feature_4_17,ATAC
feature_4_18,RNA
feature_4_18,ATAC
feature_4_19,RNA
feature_4_19,ATAC
feature_4_20,RNA
feature_4_20,ATAC
feature_4_21,RNA
feature_4_21,ATAC
feature_4_22,RNA
feature_4_22,ATAC
feature_4_23,RNA
feature_4_23,ATAC
feature_4_24,RNA
feature_4_24,ATAC
feature_4_25,RNA
feature_4_25,ATAC
feature_4_26,RNA
feature_4_26,ATAC
feature_4_27,RNA
feature_4_27,ATAC
feature_4_28,RNA
feature_4_28,ATAC
feature_4_29,RNA
feature_4_29,ATAC
feature_5_0,RNA
feature_5_0,Protein
feature_5_1,RNA
feature_5_1,Protein
feature_5_2,RNA
feature_5_2,Protein
feature_5_3,RNA
feature_5_3,Protein
feature_5_4,RNA
feature_5_4,Protein
feature_5_5,RNA
feature_5_5,Protein
feature_5_6,RNA
feature_5_6,Protein
feature_5_7,RNA
feature_5_7,Protein
feature_5_8,RNA
feature_5_8,Protein
feature_5_9,RNA
feature_5_9,Protein
feature_5_10,RNA
feature_5_10,Protein
feature_5_11,RNA
feature_5_11,Protein
feature_5_12,RNA
feature_5_12,Protein
feature_5_13,RNA
feature_5_13,Protein
feature_5_14,RNA
feature_5_14,Protein
feature_5_15,RNA
feature_5_15,Protein
feature_5_16,RNA
feature_5_16,Protein
feature_5_17,RNA
feature_5_17,Protein
feature_5_18,RNA
feature_5_18,Protein
feature_5_19,RNA
feature_5_19,Protein
feature_5_20,RNA
feature_5_20,Protein
feature_5_21,RNA
feature_5_21,Protein
feature_5_22,RNA
feature_5_22,Protein
feature_5_23,RNA
feature_5_23,Protein
feature_5_24,RNA
feature_5_24,Protein
feature_5_25,RNA
